Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,India,IND,15.4842170785554,15.4104025950524,16.6386825486965,14.803137644208,15.1256903622794,15.2719500252316,15.6141099220983,15.6631319151388,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Afghanistan,AFG,..,..,42.0936844468805,44.5892994893339,37.0225695736427,43.9227656125389,39.2201099807684,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Albania,ALB,..,..,24.1607729474324,24.3826654387392,24.4461757489854,23.9567294338323,23.8675876185324,23.2668144479125,23.1506546473696,24.7325637517413,24.5363331196553,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Angola,AGO,..,21.8300194095745,28.2092373749944,27.967359355335,20.8188316179919,17.5116639833286,16.671137232855,15.6076580956447,16.6849522138374,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Argentina,ARG,10.3254404487432,16.8328883767368,..,24.5697808575806,25.0083932347048,26.1799164832469,24.2825320419979,22.6877806247463,22.036480926619,25.8539425343283,22.8656312880663,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Armenia,ARM,..,..,22.6371817977093,23.9875580530759,25.0779813488419,25.7115181584805,22.6297249923647,22.0768137564949,21.7584805720085,26.5812877778437,25.0000498047956,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Australia,AUS,21.8154817794558,24.0475111755467,25.893427781878,26.2696602082951,26.7777158328225,26.990150452056,26.6160761598064,26.2209281816529,26.1859445097716,30.2886478256059,32.7188898005642,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Austria,AUT,35.59127017012,46.2637884393769,46.6216222891406,47.5011876922336,46.2684510027225,44.9967848869132,44.3298871104373,43.7247103743727,43.5530680424284,50.554208549136,49.9715141256033,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Azerbaijan,AZE,..,..,20.9255439826751,22.1009894245612,24.7887090842221,27.1959381185333,27.9587305829867,21.402262398242,24.2843379790515,33.9314765748897,27.1444134965323,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,"Bahamas, The",BHS,16.6108654453569,10.2594326481743,16.1152628426175,15.744224968191,16.2957063141122,18.0851303425299,20.0500985548619,17.6119918442182,18.7827808281069,27.4535585467369,25.7532488809466,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bahrain,BHR,27.1189637826962,20.7445013425675,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bangladesh,BGD,..,..,9.50711961152747,9.50443649145954,9.00588487034226,7.86276813546215,7.63987436772557,7.4941450180451,8.27231503602594,8.14832024557625,8.3242513417429,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Barbados,BRB,..,..,35.5163416489991,33.4516982128876,35.2189515793117,33.8049681947574,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Belarus,BLR,..,25.3401651010532,28.2546964798114,27.4104920512789,28.110439801635,29.4170537971155,29.3216608563755,28.1637114447351,28.5883692178918,29.9281396840657,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Belgium,BEL,..,42.6348525059249,45.5420739156994,45.1719874254131,41.5945806757549,41.0067723774795,39.9555241084094,39.8930944147907,39.4384428217745,44.11535719707,41.6987863793182,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Belize,BLZ,12.4959053685168,13.3230734767025,18.9163854688347,19.4415978550047,20.454427939154,21.0935891890635,22.1485610647419,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bhutan,BTN,21.4239137889667,19.8501566639474,20.6252335047624,18.6576264888817,19.5580899635546,19.2337921829538,18.6342176449303,20.4687942505428,17.9426721116893,25.4472894013903,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bolivia,BOL,14.1920657191241,20.5536490053406,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bosnia and Herzegovina,BIH,..,..,37.3655580614393,39.9462729767212,36.4782077046437,34.9010236092688,33.8899252873302,34.4993474661743,34.0521689246355,38.3614659355678,34.8930180694122,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Botswana,BWA,26.6816025863719,..,29.48597480927,29.1324048731669,31.2430941784713,26.7811392255083,28.154984240063,29.0644156467701,28.800544997235,33.8587111182348,28.4093166918191,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Brazil,BRA,..,..,30.8363376486568,32.0693994463665,36.924419825549,36.4916011293298,36.2476538726346,35.453999893748,34.7874528376371,38.4811610303133,32.1990924357076,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Bulgaria,BGR,53.5154855851211,..,32.9555364898296,37.9987220723073,34.3378293835736,32.078312711484,32.0358162842297,33.0817721785748,33.0466309214139,36.6667226861089,36.3698191376261,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Burkina Faso,BFA,..,..,12.3336649866679,12.8787351779888,13.1974934417641,14.7098212612735,18.4897905554418,17.3707418259823,18.0537594444895,16.9794211526388,18.1434522352611,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cabo Verde,CPV,..,..,22.807284942247,24.1312931204559,25.9771449892702,25.3032941163922,25.1939866091982,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cambodia,KHM,..,..,11.8613711727289,12.4526946730438,12.0455463501453,12.9896420554064,14.2944497115746,14.5201125128931,15.7769432828408,17.4106269435802,18.4479943156545,..
